Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4916000,3506000,2710375,2473177
Depreciation & amortization,1877000,1512000,1006778,579214
Change in working capital,-290000,-81000,1130985,-171118
Inventory,8000,4000,38960,13308
Other working capital,3776000,4409000,4461121,2879836
Other non-cash items,-842000,41000,42299,217622
Net cash provided by operating activites,5057000,5153000,5068843,3086512
Investments in property plant and equipment,-1281000,-744000,-607722,-206676
Acquisitions net,-1505000,-1840000,-5786538,-658222
Purchases of investments,-,-,-,-245001
Other investing activites,-209000,-133000,-21177,11975
Net cash used for investing activites,-543000,-2404000,-6375558,-832885
Net change in cash,-1676000,1533000,1711823,134430
Cash at beginning of period,8898000,7678000,5966339,5831909
Cash at end of period,7223000,9211000,7678163,5966339
Operating Cash Flow,5057000,5153000,5068843,3086512
Capital Expenditure,-1281000,-744000,-607722,-206676
Free Cash Flow,3776000,4409000,4461121,2879836
