Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5941000,6174000,5288000,4514000
Depreciation & amortization,-,4766000,4661000,4878000
Change in working capital,-,-24217000,4114000,8116000
Inventory,-,-23880000,2172000,10258000
Other working capital,-,-34911000,-3432000,4962000
Other non-cash items,-,1467000,1352000,1829000
Net cash provided by operating activites,-,-12780000,13482000,20980000
Investments in property plant and equipment,-,-22131000,-16914000,-16018000
Purchases of investments,-,-615000,-607000,-15000
Sales/Maturities of investments,-,35000,286000,73000
Other investing activites,-,-840000,-30000,-43000
Net cash used for investing activites,-,-12946000,-17265000,-13017000
Net change in cash,-,-1074000,-6282000,3740000
Cash at beginning of period,-,12784000,19117000,15377000
Cash at end of period,-,11710000,12784000,19117000
Operating Cash Flow,-,-12780000,13482000,20980000
Capital Expenditure,-,-22131000,-16914000,-16018000
Free Cash Flow,-,-34911000,-3432000,4962000
