Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,317847,693756,1735351,1387852
Depreciation & amortization,-,929912,917736,797048
Change in working capital,-,-2665760,-1420873,-2181866
Inventory,-,-420224,-400157,-2809781
Other working capital,-,-2407214,259848,221492
Other non-cash items,-,-172842,191556,486831
Net cash provided by operating activites,-,-1322336,1444189,1180785
Investments in property plant and equipment,-,-1084878,-1184341,-959293
Acquisitions net,-,-693535,-58625,-22175
Purchases of investments,-,-2475,-2383,-2296
Sales/Maturities of investments,-,30985,-,-
Other investing activites,-,-20907,155477,-64801
Net cash used for investing activites,-,-1765582,-1084840,-1028402
Net change in cash,-,-1981163,4485649,-574320
Cash at beginning of period,-,6438532,1952883,2527203
Cash at end of period,-,4457369,6438532,1952883
Operating Cash Flow,-,-1322336,1444189,1180785
Capital Expenditure,-,-1084878,-1184341,-959293
Free Cash Flow,-,-2407214,259848,221492
