Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,64762000,64933000,61439000,-
Interest Expense,2000,2000,1000,-
Total Other Income/Expenses Net,4023000,10174000,9946000,-
Income Before Tax,639000,1367000,843000,-8000
Income Tax Expense,408000,514000,117000,0
Income from Continuing Operations,231000,853000,726000,-8000
Net Income,238000,851000,724000,-8000
Net Income available to common shareholders,238000,851000,724000,-8000
Basic EPS,-,40.81,31.73,-0.35
Diluted EPS,-,40.81,31.73,-0.35
Basic Average Shares,-,20870,22821,22821
Diluted Average Shares,-,20870,22821,22821
