Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,11170,11170,10676,10076,9315
Interest Expense,3100,3100,1981,1045,856.443
Income Before Tax,2663,2663,2674,2318,1861
Income Tax Expense,725.503,725.503,679.216,1504,599.794
Income from Continuing Operations,1937,1937,1994,814.024,1261
Net Income,1937,1937,1994,814.024,1261
Net Income available to common shareholders,1937,1937,1994,814.024,1261
Basic EPS,-,-,0.62,0.25,0.43
Diluted EPS,-,-,0.61,0.25,0.42
Basic Average Shares,-,-,3217,3256,2933
Diluted Average Shares,-,-,3269,3256,3003
