Breakdown,ttm,3/31/2019
Net Income,-799000,143000
Depreciation & amortization,-,1734000
Change in working capital,-,-1379000
Inventory,-,-210000
Other working capital,-,-1894000
Other non-cash items,-,-515000
Net cash provided by operating activites,-,39000
Investments in property plant and equipment,-,-1933000
Acquisitions net,-,-71000
Purchases of investments,-,-14000
Sales/Maturities of investments,-,12000
Other investing activites,-,7000
Net cash used for investing activites,-,-525000
Net change in cash,-,5018000
Cash at beginning of period,-,6284000
Cash at end of period,-,11303000
Operating Cash Flow,-,39000
Capital Expenditure,-,-1933000
Free Cash Flow,-,-1894000
