Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,115230,795741,911887,511652
Depreciation & amortization,-,326597,339378,367136
Change in working capital,-,-817244,-449424,334799
Inventory,-,-417699,-329179,234795
Other working capital,-,17421,694067,811421
Other non-cash items,-,-28504,158721,-193782
Net cash provided by operating activites,-,222988,920719,1044612
Investments in property plant and equipment,-,-205567,-226652,-233191
Acquisitions net,-,-64945,-,-
Purchases of investments,-,-1006445,-3930,-3866
Sales/Maturities of investments,-,489213,-,-
Other investing activites,-,309028,-22597,28345
Net cash used for investing activites,-,-478334,-250325,-201164
Net change in cash,-,-401225,553695,408105
Cash at beginning of period,-,4641484,4087788,3679683
Cash at end of period,-,4240259,4641484,4087788
Operating Cash Flow,-,222988,920719,1044612
Capital Expenditure,-,-205567,-226652,-233191
Free Cash Flow,-,17421,694067,811421
