Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,144264,213865,69527,-410805
Depreciation & amortization,-,314413,308306,248667
Change in working capital,-,230487,-66608,27836
Inventory,-,838,1459,1511
Other working capital,-,-135572,-1053221,-569375
Other non-cash items,-,171195,2481,202573
Net cash provided by operating activites,-,933817,288488,-64051
Investments in property plant and equipment,-,-1069389,-1341709,-505324
Purchases of investments,-,-74015,-,-
Other investing activites,-,-7976,-8681,171212
Net cash used for investing activites,-,-1140607,-1335427,-335316
Net change in cash,-,72154,-170556,-48486
Cash at beginning of period,-,2224850,2395407,2443893
Cash at end of period,-,2297005,2224850,2395407
Operating Cash Flow,-,933817,288488,-64051
Capital Expenditure,-,-1069389,-1341709,-505324
Free Cash Flow,-,-135572,-1053221,-569375
