Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-20146,-20146,-5075,-9225,-4559
Acquisitions net,-,-,-782,-6025,-1425
Other investing activites,-1138,-1138,-782,-,-
Net cash used for investing activites,-21276,-21276,-5851,-15150,-5899
Debt repayment,-,-,-3938,-,2791
Dividends Paid,-8447,-8447,-8008,-10224,-10111
Net cash used privided by (used for) financing activities,16162,16162,-11946,-2115,-7320
Net change in cash,7634,7634,-2254,3670,-2524
Cash at beginning of period,10671,10671,12925,9255,11779
Cash at end of period,18305,18305,10671,12925,9255
Capital Expenditure,-20146,-20146,-5075,-9225,-4559
Free Cash Flow,-7398,-7398,10468,11710,6136
