Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,22899832,22899832,20001644
Cost of Revenue,19785714,19785714,17093585
Gross Profit,3114118,3114118,2908058
Selling General and Administrative,1189256,1189256,1058403
Total Operating Expenses,2262242,2262242,1945591
Operating Income or Loss,851876,851876,962467
Interest Expense,3866,3866,4610
Income Before Tax,936963,936963,987345
Income Tax Expense,287338,287338,240811
Income from Continuing Operations,649625,649625,746534
Net Income,649625,649625,746533
Net Income available to common shareholders,649625,649625,746533
Basic EPS,-,-,110.43
Diluted EPS,-,-,110.43
Basic Average Shares,-,-,6760
Diluted Average Shares,-,-,6760
