Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,48828,44272,-1466,-197882
Depreciation & amortization,-,1200,1680,1230
Change in working capital,-,-306486,-179713,-131061
Other working capital,-182767,-258618,-179144,-132859
Other non-cash items,-,4541,4590,4644
Net cash provided by operating activites,-181116,-257476,-178054,-130843
Investments in property plant and equipment,-1651,-1141,-1089,-2016
Acquisitions net,-,0,-700,-12476
Sales/Maturities of investments,-,-,-,0
Other investing activites,-,-,-,-43669
Net cash used for investing activites,17067,17446,30118,-54126
Net change in cash,2312,-66479,26642,52864
Cash at beginning of period,19676,144042,114324,62713
Cash at end of period,21988,74664,144042,114324
Operating Cash Flow,-181116,-257476,-178054,-130843
Capital Expenditure,-1651,-1141,-1089,-2016
Free Cash Flow,-182767,-258618,-179144,-132859
