Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,155573,154983,137299,128464,133713
Income Before Tax,152645,152694,134328,126664,132485
Income Tax Expense,5427,5042,4321,4287,4580
Income from Continuing Operations,147218,147652,130007,122377,127905
Net Income,147218,147652,130007,122377,127905
Net Income available to common shareholders,147218,147652,130007,122377,127905
Basic EPS,-,0.22,0.20,0.19,0.20
Diluted EPS,-,0.22,0.20,0.19,0.20
Basic Average Shares,-,665320,656715,651133,647134
Diluted Average Shares,-,665320,656715,651133,647134
