Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1584899,1416215,1301291,1127531
Liabilities,,,,
Total Liabilities,1414196,1264455,1193331,1030960
Stockholders' Equity,,,,
Common Stock,89345,90621,59511,58306
Retained Earnings,77766,62891,49232,39391
Accumulated other comprehensive income,3592,-1752,-783,-1126
Total stockholders' equity,170703,151760,107960,96571
Total liabilities and stockholders' equity,1584899,1416215,1301291,1127531
