Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3861900,3134070,2689450,1986134
Liabilities,,,,
Total Liabilities,1300700,893180,759990,571599
Stockholders' Equity,,,,
Common Stock,17100,14740,13640,11051
Retained Earnings,909300,768090,515520,267723
Total stockholders' equity,2561200,2240890,1929460,1414535
Total liabilities and stockholders' equity,3861900,3134070,2689450,1986134
