Breakdown,9/30/2019,9/30/2018,6/30/2017
Total Assets,327986,267418,50
Liabilities,,,
Total Liabilities,142272,83819,78
Stockholders' Equity,,,
Common Stock,1803,1803,0
Retained Earnings,192425,186887,-28
Total stockholders' equity,185714,183599,-28
Total liabilities and stockholders' equity,327986,267418,50
