Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,786936,835842,885137
Liabilities,,,
Total Liabilities,459945,504461,629332
Stockholders' Equity,,,
Common Stock,319837,319837,319837
Retained Earnings,7154,11544,-64032
Total stockholders' equity,326991,331381,255805
Total liabilities and stockholders' equity,786936,835842,885137
