Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,19721000,17940000,16411000,14947000
Depreciation & amortization,-,7389000,6455000,5599000
Change in working capital,-,-1912000,-1262000,-2730000
Inventory,-,-7074000,-2709000,-4730000
Other working capital,-,4816000,15843000,5025000
Other non-cash items,-,-172000,3381000,667000
Net cash provided by operating activites,-,22894000,27564000,16912000
Investments in property plant and equipment,-,-18078000,-11721000,-11887000
Acquisitions net,-,-461000,-,-
Purchases of investments,-,-51359000,-49000000,-39000000
Sales/Maturities of investments,-,52000000,46000000,38800000
Other investing activites,-,-4467000,-3201000,-6352000
Net cash used for investing activites,-,-22362000,-17911000,-18439000
Net change in cash,-,-13365000,6251000,-5033000
Cash at beginning of period,-,47676000,41425000,46458000
Cash at end of period,-,34311000,47676000,41425000
Operating Cash Flow,-,22894000,27564000,16912000
Capital Expenditure,-,-18078000,-11721000,-11887000
Free Cash Flow,-,4816000,15843000,5025000
