Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-882,-1260,-1465,-2686,-1376
Purchases of investments,-,-1240,-1845,-86,-
Other investing activites,-,-,1875,-,-
Net cash used for investing activites,-882,-2500,-1435,-2768,-1376
Debt repayment,-,-141,-15,-8,-9
Common stock issued,-,3290,-,300,250
Common stock repurchased,-,-317,-480,-,-81
Net cash used privided by (used for) financing activities,2945,2973,-495,292,160
Net change in cash,-6,-2842,-1041,-5225,-5949
Cash at beginning of period,3094,5910,6945,12119,17591
Cash at end of period,3088,3082,5910,6945,12119
Capital Expenditure,-882,-1260,-1465,-2686,-1376
Free Cash Flow,-2951,-4575,-576,-5435,-6109
