Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,39824496,35408629,34527512,32990836
Liabilities,,,,
Total Liabilities,36238312,31919675,31193448,29978409
Stockholders' Equity,,,,
Common Stock,10629,11628,12010,12010
Retained Earnings,3658197,3218551,2785430,2476691
Accumulated other comprehensive income,-126723,-235187,-122294,-135192
Total stockholders' equity,3586184,3488954,3334064,3012427
Total liabilities and stockholders' equity,39824496,35408629,34527512,32990836
