Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,8100,8100,3400,8900,17000
Depreciation & amortization,20300,20300,20500,20100,19100
Stock based compensation,-200,-200,-400,2300,1800
Change in working capital,-16400,-16400,-8900,3100,-600
Inventory,-3600,-3600,-7600,500,-1500
Other working capital,-11400,-11400,4800,19600,22100
Other non-cash items,3100,10000,27000,21600,9500
Net cash provided by operating activites,7300,7300,28400,37300,34900
Investments in property plant and equipment,-18700,-18700,-23600,-17700,-12800
Acquisitions net,0,0,-35700,-,-
Purchases of investments,-800,-800,-,-,-2500
Sales/Maturities of investments,12500,12500,200,8300,-
Other investing activites,-,-,-500,100,100
Net cash used for investing activites,-4600,-4600,-58600,-9300,-15200
Net change in cash,2800,2800,-14300,200,-300
Cash at beginning of period,11700,11700,26000,24800,23300
Cash at end of period,14400,14400,11700,26000,24800
Operating Cash Flow,7300,7300,28400,37300,34900
Capital Expenditure,-18700,-18700,-23600,-17700,-12800
Free Cash Flow,-11400,-11400,4800,19600,22100
