Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,4039599,4112292,4505529
Liabilities,,,
Total Liabilities,3603385,3680166,4070879
Stockholders' Equity,,,
Common Stock,26270,26258,26258
Retained Earnings,277835,265930,408392
Accumulated other comprehensive income,-10066,-2240,-
Total stockholders' equity,436214,432126,434650
Total liabilities and stockholders' equity,4039599,4112292,4505529
