Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-18669,-18669,-11578,-11650,-17222
Acquisitions net,-76841,-76841,-,-3529,-
Net cash used for investing activites,-94972,-94972,-10434,-14709,-16659
Debt repayment,-57029,-57029,-12209,-8134,-31134
Common stock issued,1585,1585,-,-,33170
Dividends Paid,-14025,-14025,-11603,-10154,-
Other financing activites,-52,-52,-278,-30,-12451
Net cash used privided by (used for) financing activities,61535,61535,-19449,-7431,6628
Net change in cash,486,486,-3366,590,14024
Cash at beginning of period,20844,20844,24210,23620,9596
Cash at end of period,20967,20967,20844,24210,23620
Capital Expenditure,-18669,-18669,-11578,-11650,-17222
Free Cash Flow,15254,15254,14939,11080,6833
