Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,779835,-1280492,1952159,2781578
Depreciation & amortization,1488065,1488065,1344126,1136139
Change in working capital,-505098,-505098,2212279,-3727439
Inventory,-295780,-295780,-652238,1112578
Other working capital,300307,300307,3348395,-234944
Other non-cash items,242000,242000,299539,490790
Net cash provided by operating activites,1198316,1198316,5379288,1393085
Investments in property plant and equipment,-898009,-898009,-2030893,-1628029
Acquisitions net,-369960,-369960,-382018,-204205
Purchases of investments,-855584,-855584,-901700,-1121206
Sales/Maturities of investments,584986,584986,36477,295810
Other investing activites,-35187,-35187,-126956,-
Net cash used for investing activites,-1561137,-1561137,-2060737,-2632934
Net change in cash,-714181,-714181,-2619182,4241262
Cash at beginning of period,9790600,9790600,12372307,3155905
Cash at end of period,9060407,9060407,9790600,12372307
Operating Cash Flow,1198316,1198316,5379288,1393085
Capital Expenditure,-898009,-898009,-2030893,-1628029
Free Cash Flow,300307,300307,3348395,-234944
