Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,1089,-134.854,-,-24.052,-
Acquisitions net,-,-1157,-1387,-,-
Sales/Maturities of investments,-,-,-,231.374,97.958
Other investing activites,-,-510,-,-,-
Net cash used for investing activites,-68.746,-1082,-1387,207.322,97.958
Debt repayment,-,-100,-,-,-
Common stock issued,-,604.539,3458,4556,428.421
Common stock repurchased,-,-153.777,-,-,-
Net cash used privided by (used for) financing activities,1871,450.762,3458,4556,878.421
Net change in cash,-753.623,-3199,-293.267,3047,-196.738
Cash at beginning of period,999.002,3422,3715,668.042,864.78
Cash at end of period,245.379,222.277,3422,3715,668.042
Capital Expenditure,1089,-134.854,-,-24.052,-
Free Cash Flow,-1467,-2703,-2364,-1740,-1173
