Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,2492775000,2969875000,3352014000,2961083000
Interest Expense,1199515000,1101875000,733969000,502338000
Income Before Tax,739509000,831892000,1118976000,880352000
Income Tax Expense,188809000,184306000,229378000,139766000
Income from Continuing Operations,550700000,647586000,889598000,740586000
Net Income,514880000,541932000,759998000,627870000
Net Income available to common shareholders,514880000,541932000,759998000,627870000
Basic EPS,-,520.67,520.67,458.56
Diluted EPS,-,520.27,520.27,458.18
Basic Average Shares,-,1410442,1410442,1369221
Diluted Average Shares,-,1410442,1411513,1370357
