Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,-69859,-83535,61767,59910,-39920
Interest Expense,2368,1677,2293,2421,1796
Income Before Tax,-75633,-87571,54022,47076,-47064
Income Tax Expense,-25900,-28263,12856,10124,-16182
Income from Continuing Operations,-49733,-59308,41167,36952,-30882
Net Income,-49733,-59308,41167,36952,-30882
Net Income available to common shareholders,-49733,-59308,41167,36952,-30882
Basic EPS,-,-0.18,0.14,0.14,-0.12
Diluted EPS,-,-0.18,0.14,0.14,-0.12
Basic Average Shares,-,323944,304189,273041,265512
Diluted Average Shares,-,323944,304189,273041,265512
