Attribute,Value
Previous Close,25.11
Open,25.01
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,25.00 - 25.20
52 Week Range,13.81 - 27.86
Volume,21311
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
