Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3824305,4298698,4168237,3945389
Depreciation & amortization,-,786894,587098,397568
Change in working capital,-,5296552,-15420723,-7442789
Inventory,-,4574799,-14288207,-8658243
Other working capital,-,-4803912,-18439997,-8964664
Other non-cash items,-,2311079,243463,338781
Net cash provided by operating activites,-,11962982,-10606068,-3123445
Investments in property plant and equipment,-,-16766894,-7833929,-5841219
Other investing activites,-,-64550,-132567,-295541
Net cash used for investing activites,-,-16749745,-7928384,-5977022
Net change in cash,-,1554809,-1785010,3549741
Cash at beginning of period,-,10486571,12271581,8721840
Cash at end of period,-,12041380,10486571,12271581
Operating Cash Flow,-,11962982,-10606068,-3123445
Capital Expenditure,-,-16766894,-7833929,-5841219
Free Cash Flow,-,-4803912,-18439997,-8964664
