Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9716000,8322000,8455000,8715000
Depreciation & amortization,5780000,5878000,5703000,5315000
Change in working capital,-83000,-316000,345000,-1315000
Inventory,-563000,802000,2151000,-71000
Other working capital,11269000,9394000,7124000,6932000
Other non-cash items,498000,737000,551000,95000
Net cash provided by operating activites,16515000,13865000,15623000,12638000
Investments in property plant and equipment,-5246000,-4471000,-8499000,-5706000
Acquisitions net,-,-832000,-,-
Purchases of investments,-32000,-33000,-31000,-42000
Sales/Maturities of investments,73000,365000,-,-
Other investing activites,-189000,-35000,19919000,-76000
Net cash used for investing activites,-5589000,-5000000,11397000,-5816000
Net change in cash,8511000,6523000,25224000,4097000
Cash at beginning of period,60864000,58483000,33258000,29149000
Cash at end of period,69376000,65007000,58483000,33258000
Operating Cash Flow,16515000,13865000,15623000,12638000
Capital Expenditure,-5246000,-4471000,-8499000,-5706000
Free Cash Flow,11269000,9394000,7124000,6932000
