Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017
Total Revenue,260218,260218,75012,407267
Selling General and Administrative,1455,1455,1487,1681
Total Operating Expenses,1627,1627,1657,1844
Interest Expense,29012,29012,24254,11598
Income Before Tax,258591,258591,73355,405423
Income from Continuing Operations,258591,258591,73355,405423
Net Income,258591,258591,73355,405423
Net Income available to common shareholders,258591,258591,73355,405423
Basic EPS,-,-,0.48,2.62
Diluted EPS,-,-,0.48,2.62
Basic Average Shares,-,-,152822,154741
Diluted Average Shares,-,-,152822,154741
