Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3800,-4084,-3004,-3838,-1296
Purchases of investments,-,-,-,-2085,121
Sales/Maturities of investments,-,-,-,-,73975
Other investing activites,-,-745,142,-18.279,446.032
Net cash used for investing activites,-4548,-4829,-2862,-5941,73246
Common stock issued,-,4584,-,-,2454
Common stock repurchased,-,-310,-,-8343,-50088
Other financing activites,-,-,-,-4.597,-
Net cash used privided by (used for) financing activities,-,4274,-,-8348,-47635
Net change in cash,-1658,-1715,-4089,-15190,23760
Cash at beginning of period,3024,5408,9497,24687,926.595
Cash at end of period,1366,3693,5408,9497,24687
Capital Expenditure,-3800,-4084,-3004,-3838,-1296
Free Cash Flow,-5322,-5244,-4231,-4739,-3147
