Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Investments in property plant and equipment,-579.911,-579.911,-716.6975,-4.5191,-4.0496
Acquisitions net,-,-,38.7966,-,-
Purchases of investments,-,-,-34.9512,-,-
Net cash used for investing activites,-526.1653,-526.1653,-648.7996,89.2526,73.0572
Common stock issued,1125,1125,-,-,5697
Common stock repurchased,-,-,-,-,-354.9688
Other financing activites,-,-,33.8072,-,118.9364
Net cash used privided by (used for) financing activities,1125,1125,33.8072,-,5461
Net change in cash,-3990,-3990,28.3131,-2244,4978
Cash at beginning of period,9572,9572,9224,10539,5979
Cash at end of period,5453,5453,8976,8551,11034
Capital Expenditure,-579.911,-579.911,-716.6975,-4.5191,-4.0496
Free Cash Flow,-5169,-5169,-73.392,-2338,-560.1181
