Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1388185,1399962,1303363,973956
Liabilities,,,,
Total Liabilities,43768,76129,88464,95207
Stockholders' Equity,,,,
Common Stock,1337451,1221306,1139486,784688
Retained Earnings,-47616,-27620,-27620,-27620
Accumulated other comprehensive income,54582,130147,103032,121681
Total stockholders' equity,1344417,1323833,1214898,878749
Total liabilities and stockholders' equity,1388185,1399962,1303363,973956
