Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5544,-5544,-6265,-12880,-4615
Purchases of investments,-,3398,648,-,-3470
Other investing activites,-,-,648,4025,-
Net cash used for investing activites,-549741,-549741,-276299,-522960,-331356
Debt repayment,118,118,-50,-,100001
Common stock issued,81,81,82,80,99
Dividends Paid,-22845,-22845,-21953,-18629,-22945
Net cash used privided by (used for) financing activities,512347,512347,230268,466432,303134
Net change in cash,12118,12118,3650,-15900,13941
Cash at beginning of period,67876,67876,64226,80126,66185
Cash at end of period,79994,79994,67876,64226,80126
Capital Expenditure,-5544,-5544,-6265,-12880,-4615
Free Cash Flow,43968,43968,43416,27748,37548
