Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-7357,-6189,-743.212,-990.567,-506.025
Purchases of investments,-,-,-500,-361.171,-
Net cash used for investing activites,-7357,-6189,-1243,-1352,-506.025
Common stock issued,10365,7183,6761,1697,3119
Common stock repurchased,-581.949,-84.696,-424.857,-49.463,-195.784
Net cash used privided by (used for) financing activities,6160,7098,6337,1648,2924
Net change in cash,-3328,-735.409,3629,-1672,1384
Cash at beginning of period,9544,5153,1524,3197,1813
Cash at end of period,6216,4417,5153,1524,3197
Capital Expenditure,-7357,-6189,-743.212,-990.567,-506.025
Free Cash Flow,-9488,-7834,-2208,-2959,-1540
