Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,833203,857068,1004285,977145
Depreciation & amortization,-,295486,301011,302758
Change in working capital,-,7358,75574,56815
Inventory,-,-19642,-12104,1384
Other working capital,-,10332,996907,923276
Other non-cash items,-,192084,-29577,84705
Net cash provided by operating activites,-,1280939,1433126,1478372
Investments in property plant and equipment,-,-1270607,-436219,-555096
Acquisitions net,-,-17500,-,-
Purchases of investments,-,-,-625543,-
Other investing activites,-,-43453,-52464,-97469
Net cash used for investing activites,-,-1336122,-1110865,-661235
Net change in cash,-,184054,574519,-246350
Cash at beginning of period,-,1162901,588381,834732
Cash at end of period,-,1346956,1162901,588381
Operating Cash Flow,-,1280939,1433126,1478372
Capital Expenditure,-,-1270607,-436219,-555096
Free Cash Flow,-,10332,996907,923276
