Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017
Net Income,-721209,-721209,-323822,-123936
Depreciation & amortization,1666,1666,1116,1323
Change in working capital,-87951,-87951,38647,-78114
Inventory,-2303,-2303,-10345,-
Other working capital,-783837,-783837,-260976,-285347
Other non-cash items,9739,9739,-42924,-8312
Net cash provided by operating activites,-777789,-777789,-260976,-285347
Investments in property plant and equipment,-6048,-6048,-,-
Other investing activites,-505,-505,-,-403
Net cash used for investing activites,-6553,-6553,0,-403
Net change in cash,653018,653018,939084,-285718
Cash at beginning of period,1843404,1843404,904319,1190037
Cash at end of period,2496422,2496422,1843404,904319
Operating Cash Flow,-777789,-777789,-260976,-285347
Capital Expenditure,-6048,-6048,-,-
Free Cash Flow,-783837,-783837,-260976,-285347
