Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-810.661,-1750,-1685,-335.812,-558.569
Acquisitions net,-,-3362,-,-,-
Purchases of investments,-,-,-75,-50.116,-457.604
Sales/Maturities of investments,-,970.838,1187,-,-
Net cash used for investing activites,229.418,-2105,20.363,180.65,1605
Debt repayment,-943.531,-691.959,-1203,-1230,-832.572
Dividends Paid,-11920,-13112,-8344,-5165,-595.987
Other financing activites,-17463,118.014,-890.568,-484.483,-400.097
Net cash used privided by (used for) financing activities,-28176,-13224,-9163,-5648,-1025
Net change in cash,50339,-14210,-10984,43865,10647
Cash at beginning of period,61405,74288,85335,41548,32441
Cash at end of period,111745,60451,74288,85335,41548
Capital Expenditure,-810.661,-1750,-1685,-335.812,-558.569
Free Cash Flow,77475,-631.07,-3525,48997,9508
