Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-374.779,-444.376,-431.751,-,-968.624
Other investing activites,-,-,-34.033,130,-
Net cash used for investing activites,-375.097,-444.376,-295.784,2719,-968.624
Debt repayment,-,-1470,-,-17,-50
Common stock issued,-,-,-,-,861.06
Net cash used privided by (used for) financing activities,342.28,-1380,-,983,1128
Net change in cash,-345.393,-2363,-802.543,3226,-204.535
Cash at beginning of period,421.889,2458,3261,34.105,238.64
Cash at end of period,76.496,94.736,2458,3261,34.105
Capital Expenditure,-374.779,-444.376,-431.751,-,-968.624
Free Cash Flow,-687.355,-983.682,-938.51,-475.852,-1333
