Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,12916016,12573192,11915460,10708655
Liabilities,,,,
Total Liabilities,11280324,11115638,10612126,9632920
Stockholders' Equity,,,,
Common Stock,90505,89978,86663,78226
Retained Earnings,40152,-90419,-209902,-251857
Accumulated other comprehensive income,8394,-41589,-25241,-26483
Total stockholders' equity,1635692,1457554,1303334,1075735
Total liabilities and stockholders' equity,12916016,12573192,11915460,10708655
