Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,660000,1888000,2286000,2415000
Depreciation & amortization,-,3943000,4202000,4363000
Change in working capital,-,-770000,-1186000,-1299000
Inventory,-,-973000,-191000,-415000
Other working capital,-,438000,1216000,1169000
Other non-cash items,-,-343000,-966000,671000
Net cash provided by operating activites,-,5129000,6094000,6434000
Investments in property plant and equipment,-,-4691000,-4878000,-5265000
Sales/Maturities of investments,-,-,-,230000
Other investing activites,-,52000,-13000,-
Net cash used for investing activites,-,-4604000,-4856000,-5023000
Net change in cash,-,-525000,277000,521000
Cash at beginning of period,-,4911000,4634000,4112000
Cash at end of period,-,4386000,4911000,4634000
Operating Cash Flow,-,5129000,6094000,6434000
Capital Expenditure,-,-4691000,-4878000,-5265000
Free Cash Flow,-,438000,1216000,1169000
