Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1791946,1655356,1278505
Liabilities,,,
Total Liabilities,1306078,1115844,857236
Stockholders' Equity,,,
Common Stock,368159,368159,367375
Retained Earnings,-90455,37216,43189
Total stockholders' equity,485868,539512,421269
Total liabilities and stockholders' equity,1791946,1655356,1278505
