Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4204000,4308000,7138000,5661000
Depreciation & amortization,-,2751000,2603000,2366000
Change in working capital,-,157000,-4626000,1430000
Inventory,-,-4014000,541000,-731000
Other working capital,-,1508000,2042000,7506000
Other non-cash items,-,-806000,-566000,854000
Net cash provided by operating activites,-,5348000,4829000,10533000
Investments in property plant and equipment,-,-3840000,-2787000,-3027000
Acquisitions net,-,-,-2566000,-1251000
Purchases of investments,-,-4655000,-1078000,-33000
Sales/Maturities of investments,-,302000,3000,511000
Other investing activites,-,-486000,-157000,-273000
Net cash used for investing activites,-,-8713000,-6567000,-4157000
Net change in cash,-,-4295000,-4399000,4573000
Cash at beginning of period,-,20394000,24794000,20221000
Cash at end of period,-,16099000,20394000,24794000
Operating Cash Flow,-,5348000,4829000,10533000
Capital Expenditure,-,-3840000,-2787000,-3027000
Free Cash Flow,-,1508000,2042000,7506000
