Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2910379,2955440,2891421,2727543
Liabilities,,,,
Total Liabilities,2583884,2631787,2582996,2423885
Stockholders' Equity,,,,
Common Stock,230265,291771,299474,292747
Retained Earnings,91669,42187,12810,16536
Accumulated other comprehensive income,4561,-10305,-3859,-5625
Total stockholders' equity,326495,323653,308425,303658
Total liabilities and stockholders' equity,2910379,2955440,2891421,2727543
