Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-308.611,-344.265,-837.05,-1184,-1057
Net cash used for investing activites,-308.611,-344.265,-832.05,-1184,-1057
Common stock issued,-,-,-,1308,2309
Common stock repurchased,-,-,-,-20.765,-27.076
Net cash used privided by (used for) financing activities,1059,715,705,1287,2282
Net change in cash,277.284,-30.184,-860.72,-566.225,420.988
Cash at beginning of period,92.455,48.889,909.609,1476,1055
Cash at end of period,369.739,18.705,48.889,909.609,1476
Capital Expenditure,-308.611,-344.265,-837.05,-1184,-1057
Free Cash Flow,-781.222,-745.184,-1571,-1853,-1861
