Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,573967,535824,473604,417903
Depreciation & amortization,-,108593,115306,134628
Change in working capital,-,-514369,-33117,-29546
Inventory,-,-12443,17766,62743
Other working capital,-,53853,634827,536033
Other non-cash items,-,-53820,36112,75761
Net cash provided by operating activites,-,92237,669059,564750
Investments in property plant and equipment,-,-38384,-34232,-28717
Purchases of investments,-,-2446,-2496,-23406
Sales/Maturities of investments,-,15400,37025,-
Other investing activites,-,2958,287,20138
Net cash used for investing activites,-,-22472,584,-31985
Net change in cash,-,-177912,328806,331935
Cash at beginning of period,-,1240807,912000,580064
Cash at end of period,-,1062894,1240807,912000
Operating Cash Flow,-,92237,669059,564750
Capital Expenditure,-,-38384,-34232,-28717
Free Cash Flow,-,53853,634827,536033
