Attribute,Value
Previous Close,100.06
Open,99.94
Bid,99.88 x 1800
Ask,100.06 x 800
Day's Range,100.06 - 100.06
52 Week Range,99.88 - 100.06
Volume,0
Avg. Volume,96
Net Assets,5.15M
NAV,8.62
PE Ratio (TTM),
Yield,5.17%
YTD Daily Total Return,-13.91%
Beta (5Y Monthly),1.36
Expense Ratio (net),0.85%
Inception Date,2016-03-30
