Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1763536,1763536,1218796,925050,849874
Depreciation & amortization,44578,44578,50855,39632,-
Change in working capital,-767372,-767372,-1775977,-1197604,-
Other working capital,931895,931895,-584818,-307634,116588
Other non-cash items,-10733,-10733,1498,-14222,-
Net cash provided by operating activites,962068,962068,-557281,-255568,156194
Investments in property plant and equipment,-30173,-30173,-27537,-52066,-39606
Purchases of investments,-3845200,-3845200,-2602475,-1637234,-4923363
Sales/Maturities of investments,3777027,3777027,3858893,2460794,5830634
Other investing activites,-2364,-2364,-,-,-
Net cash used for investing activites,-100632,-100632,1228881,771531,757334
Net change in cash,-63985,-63985,-12656,-183351,232637
Cash at beginning of period,43131,43131,25771,217575,18277
Cash at end of period,35864,35864,43131,25771,217575
Operating Cash Flow,962068,962068,-557281,-255568,156194
Capital Expenditure,-30173,-30173,-27537,-52066,-39606
Free Cash Flow,931895,931895,-584818,-307634,116588
