Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-14.734,-110.262,-310.761
Purchases of investments,-,-,-45
Net cash used for investing activites,-14.734,-110.262,-355.761
Common stock issued,-,-,9043
Common stock repurchased,-,-,-750.254
Net cash used privided by (used for) financing activities,-,-,8292
Net change in cash,-2779,-3052,6285
Cash at beginning of period,6426,7780,1495
Cash at end of period,3647,4728,7780
Capital Expenditure,-14.734,-110.262,-310.761
Free Cash Flow,-2748,-3052,-1962
