Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,17786000,14986000,24693000,26169000
Depreciation & amortization,-,19137000,17740000,16297000
Change in working capital,-,-5050000,-27809000,-24403000
Inventory,-,-13471000,-23936000,-12730000
Other working capital,-,13872000,-12911000,3425000
Other non-cash items,-,8026000,-581000,7579000
Net cash provided by operating activites,-,37555000,11125000,29389000
Investments in property plant and equipment,-,-23683000,-24036000,-25964000
Acquisitions net,-,-2798000,-3052000,-2125000
Purchases of investments,-,-1835000,-7000,-17000
Sales/Maturities of investments,-,39000,35000,675000
Other investing activites,-,-54000,139000,796000
Net cash used for investing activites,-,-51025000,-34010000,-25954000
Net change in cash,-,2416000,1088000,-3775000
Cash at beginning of period,-,16472000,15126000,18902000
Cash at end of period,-,19002000,16472000,15126000
Operating Cash Flow,-,37555000,11125000,29389000
Capital Expenditure,-,-23683000,-24036000,-25964000
Free Cash Flow,-,13872000,-12911000,3425000
