Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-42214,-42214,-90076,-51479,-86967
Purchases of investments,9626,9626,-20025,-117,-
Sales/Maturities of investments,-10000,-10000,-,-,43862
Other investing activites,-50974,-50974,-54779,-,-
Net cash used for investing activites,-93562,-93562,-110099,-51596,-43090
Debt repayment,-12881,-12881,-11395,-6535,-4962
Dividends Paid,-23148,-23148,-23148,-5787,-5787
Other financing activites,-369,-369,461,-,-329
Net cash used privided by (used for) financing activities,-25582,-25582,-27649,-10175,-8924
Net change in cash,-63408,-63408,29634,9454,69925
Cash at beginning of period,204497,204497,167989,165958,94698
Cash at end of period,142143,142143,204497,167989,165958
Capital Expenditure,-42214,-42214,-90076,-51479,-86967
Free Cash Flow,13522,13522,77306,19746,34972
