Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,605594,596613,567491,551317
Depreciation & amortization,-,72488,76970,94222
Change in working capital,-,39168,-303415,250304
Inventory,-,-111263,-25463,175329
Other working capital,-,743177,369322,930147
Other non-cash items,-,30569,45639,-75084
Net cash provided by operating activites,-,773119,388839,936428
Investments in property plant and equipment,-,-29942,-19517,-6281
Purchases of investments,-,-270843,-158342,-65997
Sales/Maturities of investments,-,371534,236943,179800
Other investing activites,-,-26397,-30804,-12697
Net cash used for investing activites,-,46902,28280,94825
Net change in cash,-,284907,23684,414210
Cash at beginning of period,-,2845893,2822208,2407998
Cash at end of period,-,3130800,2845893,2822208
Operating Cash Flow,-,773119,388839,936428
Capital Expenditure,-,-29942,-19517,-6281
Free Cash Flow,-,743177,369322,930147
