Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1386128,670544,646544,607371
Liabilities,,,,
Total Liabilities,1193989,590067,569994,535673
Stockholders' Equity,,,,
Common Stock,162610,54523,50290,46299
Retained Earnings,28051,26686,26023,25997
Accumulated other comprehensive income,1478,-732,237,-598
Total stockholders' equity,192139,80477,76550,71698
Total liabilities and stockholders' equity,1386128,670544,646544,607371
