Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017
Net Income,732959,732959,357645,242509
Depreciation & amortization,120651,120651,115907,109030
Change in working capital,1864695,1864695,140719,-738450
Inventory,-4265,-4265,-3645,4419
Other working capital,2656227,2656227,928151,-919609
Other non-cash items,19676,19676,4074,-24212
Net cash provided by operating activites,2764536,2764536,962625,-718460
Investments in property plant and equipment,-108309,-108309,-34474,-201149
Purchases of investments,-34937,-34937,-,-
Sales/Maturities of investments,51087,51087,-,-
Other investing activites,375,375,-18373,7983
Net cash used for investing activites,-91784,-91784,-52847,107722
Net change in cash,2459729,2459729,1113053,-618072
Cash at beginning of period,3702552,3702552,2589499,3207571
Cash at end of period,6162281,6162281,3702552,2589499
Operating Cash Flow,2764536,2764536,962625,-718460
Capital Expenditure,-108309,-108309,-34474,-201149
Free Cash Flow,2656227,2656227,928151,-919609
