Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-427.199,-617.476,-645.076,-332.842,-952.019
Net cash used for investing activites,-405.199,-595.476,-645.076,-244.629,-925.912
Debt repayment,-,-,-,-,-10.151
Common stock issued,-,8240,26861,-,13148
Common stock repurchased,-,8240,-,-,-720.618
Net cash used privided by (used for) financing activities,-,8240,26861,4000,12417
Net change in cash,-2806,-6848,15061,-9639,-954.098
Cash at beginning of period,7857,17733,2700,12355,13059
Cash at end of period,5051,10902,17733,2700,12355
Capital Expenditure,-427.199,-617.476,-645.076,-332.842,-952.019
Free Cash Flow,-10908,-15110,-11801,-13728,-13397
