Breakdown,ttm,6/30/2019
Net Income,16011,16421
Change in working capital,341.539,465.981
Other working capital,-95341,-154489
Net cash provided by operating activites,-95341,-154489
Net change in cash,-30276,-37531
Cash at beginning of period,35758,43031
Cash at end of period,5481,5500
Operating Cash Flow,-95341,-154489
Free Cash Flow,-95341,-154489
