Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-35027,-35027,-55775,-14890,-5837
Sales/Maturities of investments,16878,16878,447.9056,34048,1024
Other investing activites,-1107,-1107,42014,1219,-16720
Net cash used for investing activites,-19256,-19256,-13313,20377,-21533
Debt repayment,-7809,-7809,-33415,-24518,-863.345
Common stock issued,-,-,89.7957,-,25070
Common stock repurchased,-300.0029,-300.0029,-,-,-
Net cash used privided by (used for) financing activities,25088,25088,16026,-16006,25226
Net change in cash,-1554,-1554,83.9264,41.8162,-934.7132
Cash at beginning of period,409.4852,409.4852,21.4152,310.5733,260.2572
Cash at end of period,149.3156,149.3156,388.5428,20.5772,321.6981
Free Cash Flow,-7386,-7386,-2629,-4329,-4628
