Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,41011,-21992,-750309,-719140
Depreciation & amortization,-,5086,78904,125302
Stock based compensation,-,11637,-,-
Change in working capital,-,-200990,58823,224432
Inventory,-,-104822,196852,131314
Other working capital,-,-207134,-299884,-389309
Other non-cash items,-,9520,17428,20781
Net cash provided by operating activites,-,-180789,-234617,-211440
Investments in property plant and equipment,-,-26345,-65267,-177869
Purchases of investments,-,-42272,-,-
Sales/Maturities of investments,-,38620,60678,-
Other investing activites,-,24958,126574,80222
Net cash used for investing activites,-,-105039,121985,-97647
Net change in cash,-,536371,-423605,-484244
Cash at beginning of period,-,315256,738862,1223107
Cash at end of period,-,851628,315256,738862
Operating Cash Flow,-,-180789,-234617,-211440
Capital Expenditure,-,-26345,-65267,-177869
Free Cash Flow,-,-207134,-299884,-389309
