Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-684173,-818953,37701,450164
Depreciation & amortization,-,73585,60281,69960
Change in working capital,-,317055,81081,754902
Inventory,-,-49009,60398,55753
Other working capital,-,-516679,-75534,1283559
Other non-cash items,-,-27820,16239,-67480
Net cash provided by operating activites,-,-427225,14370,1358746
Investments in property plant and equipment,-,-89454,-89904,-75187
Sales/Maturities of investments,-,-,1400000,700000
Other investing activites,-,-59056,-1369354,-701060
Net cash used for investing activites,-,840886,-59311,-79332
Net change in cash,-,126584,-546695,178063
Cash at beginning of period,-,3548181,4094876,3916813
Cash at end of period,-,3674766,3548181,4094876
Operating Cash Flow,-,-427225,14370,1358746
Capital Expenditure,-,-89454,-89904,-75187
Free Cash Flow,-,-516679,-75534,1283559
