Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-712.369,-847.028,-975.602
Net cash used for investing activites,-712.369,-847.028,-975.602
Other financing activites,-,-,5502
Net cash used privided by (used for) financing activities,-,-,5664
Net change in cash,-405.417,-2320,2411
Cash at beginning of period,950.135,2423,11.603
Cash at end of period,544.718,103.032,2423
Capital Expenditure,-712.369,-847.028,-975.602
Free Cash Flow,-2211,-2320,-3253
