Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,130000,130000,135000,168000,24000
Depreciation & amortization,91000,91000,49000,51000,51000
Stock based compensation,10000,10000,8000,9000,7000
Change in working capital,32000,32000,-229000,27000,-48000
Inventory,-18000,-18000,-16000,-12000,42000
Other working capital,129000,129000,-234000,-63000,-188000
Other non-cash items,-1000,-1000,-,-1000,0
Net cash provided by operating activites,211000,211000,-130000,38000,-136000
Investments in property plant and equipment,-82000,-82000,-104000,-101000,-52000
Acquisitions net,-61000,-61000,-59000,-33000,-43000
Purchases of investments,-3000,-3000,-2000,-2000,-32000
Sales/Maturities of investments,29000,29000,25000,23000,44000
Other investing activites,-,-,-,40000,0
Net cash used for investing activites,113000,113000,150000,131000,164000
Net change in cash,132000,132000,-329000,230000,25000
Cash at beginning of period,661000,661000,968000,768000,663000
Cash at end of period,778000,778000,661000,968000,768000
Operating Cash Flow,211000,211000,-130000,38000,-136000
Capital Expenditure,-82000,-82000,-104000,-101000,-52000
Free Cash Flow,129000,129000,-234000,-63000,-188000
