Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,150588,201336,252307,198545
Depreciation & amortization,-,110254,117421,138016
Change in working capital,-,16726,272063,27316
Inventory,-,-6724,-36465,1206
Other working capital,-,217731,645508,246009
Other non-cash items,-,64647,7021,7574
Net cash provided by operating activites,-,307944,682701,317040
Investments in property plant and equipment,-,-90213,-37193,-71031
Purchases of investments,-,-142000,-,-
Sales/Maturities of investments,-,116000,-,45178
Other investing activites,-,-29505,-30322,-12215
Net cash used for investing activites,-,-138142,-59334,-30740
Net change in cash,-,184275,11793,35463
Cash at beginning of period,-,173353,161560,126096
Cash at end of period,-,357628,173353,161560
Operating Cash Flow,-,307944,682701,317040
Capital Expenditure,-,-90213,-37193,-71031
Free Cash Flow,-,217731,645508,246009
