Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1364818,1092043,894848,841737
Liabilities,,,,
Total Liabilities,434398,390543,385771,364388
Stockholders' Equity,,,,
Common Stock,684,663,605,591
Retained Earnings,205445,33488,-74157,-94882
Accumulated other comprehensive income,17288,-14832,-2859,-5287
Total stockholders' equity,930420,701500,509077,477349
Total liabilities and stockholders' equity,1364818,1092043,894848,841737
