Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-336.936,-49.199,-,-1187
Acquisitions net,-,68.972,-,-,-
Net cash used for investing activites,-863.897,-267.964,-49.199,120.748,-1187
Common stock issued,2094,257.2,116,-,-
Common stock repurchased,-,-44.628,-,-,-
Net cash used privided by (used for) financing activities,2740,547.825,211.93,-,-
Net change in cash,500.08,2.743,-67.327,-61.551,-1674
Cash at beginning of period,33.391,6.855,70.002,131.553,1805
Cash at end of period,533.471,9.598,2.675,70.002,131.553
Capital Expenditure,-,-336.936,-49.199,-,-1187
Free Cash Flow,-1735,-614.054,-279.257,-182.299,-1674
